venda_id_origem,data_venda,filial,produto,categoria,quantidade,valor_unitario
SP01-20260723-002-001,2026-07-23,SP01,Monitor,Eletrônicos,3,1183.20
SP01-20260723-002-002,2026-07-23,SP01,Notebook,Eletrônicos,3,3383.80
SP01-20260723-002-003,2026-07-23,SP01,Mochila,Escritório,5,189.77
SP01-20260723-002-004,2026-07-23,SP01,Headset,Acessórios,4,249.68
SP01-20260723-002-005,2026-07-23,SP01,Caderno,Escritório,5,24.93
SP01-20260723-002-006,2026-07-23,SP01,Mouse,Acessórios,5,79.81
SP01-20260723-002-007,2026-07-23,SP01,Notebook,Eletrônicos,5,3314.50
SP01-20260723-002-008,2026-07-23,SP01,Teclado,Acessórios,2,135.42
SP01-20260723-002-009,2026-07-23,SP01,Headset,Acessórios,1,237.25
SP01-20260723-002-010,2026-07-23,SP01,Caderno,Escritório,3,27.34
SP01-20260723-002-011,2026-07-23,SP01,Mouse,Acessórios,4,82.90
SP01-20260723-002-012,2026-07-23,SP01,Notebook,Eletrônicos,5,3789.10
SP01-20260723-002-013,2026-07-23,SP01,Monitor,Eletrônicos,4,1203.00
SP01-20260723-002-014,2026-07-23,SP01,Caderno,Escritório,5,26.00
SP01-20260723-002-015,2026-07-23,SP01,Headset,Acessórios,4,229.82
,2026-07-23,SP01,Caneta,Escritório,3,5.05
SP01-20260723-002-017,31/07/2026,SP01,Cadeira,Móveis,5,972.45
SP01-20260723-002-018,2026-07-23,SP01,Mesa,Móveis,0,1087.32
SP01-20260723-002-019,2026-07-23,SP01,Mesa,Móveis,4,0.00
SP01-20260723-002-020,2026-07-23,SP01,Geladeira,Eletrônicos,4,3780.70
