venda_id_origem,data_venda,filial,produto,categoria,quantidade,valor_unitario
SP02-20260723-001-001,2026-07-23,SP02,Mouse,Acessórios,5,77.86
SP02-20260723-001-002,2026-07-23,SP02,Mouse,Acessórios,5,83.67
SP02-20260723-001-003,2026-07-23,SP02,Caneta,Escritório,2,4.89
SP02-20260723-001-004,2026-07-23,SP02,Headset,Acessórios,5,246.95
SP02-20260723-001-005,2026-07-23,SP02,Caneta,Escritório,5,4.54
SP02-20260723-001-006,2026-07-23,SP02,Caderno,Escritório,5,25.67
SP02-20260723-001-007,2026-07-23,SP02,Caderno,Escritório,2,26.26
SP02-20260723-001-008,2026-07-23,SP02,Mesa,Móveis,4,1135.68
SP02-20260723-001-009,2026-07-23,SP02,Caderno,Escritório,2,22.93
SP02-20260723-001-010,2026-07-23,SP02,Notebook,Eletrônicos,2,3586.45
SP02-20260723-001-011,2026-07-23,SP02,Caneta,Escritório,4,5.42
SP02-20260723-001-012,2026-07-23,SP02,Caderno,Escritório,2,26.16
SP02-20260723-001-013,2026-07-23,SP02,Caderno,Escritório,5,23.24
SP02-20260723-001-014,2026-07-23,SP02,Mochila,Escritório,5,177.17
SP02-20260723-001-015,2026-07-23,SP02,Mochila,Escritório,1,171.07
SP02-20260723-001-016,2026-07-23,SP02,Caneta,Escritório,1,5.35
SP02-20260723-001-017,2026-07-23,SP02,Cadeira,Móveis,4,936.72
SP02-20260723-001-018,2026-07-23,SP02,Teclado,Acessórios,5,148.12
SP02-20260723-001-019,2026-07-23,SP02,Caneta,Escritório,4,5.36
SP02-20260723-001-020,2026-07-23,SP02,Mesa,Móveis,2,1302.96
