venda_id_origem,data_venda,filial,produto,categoria,quantidade,valor_unitario
SP02-20260723-002-001,2026-07-23,SP02,Mesa,Móveis,4,1180.56
SP02-20260723-002-002,2026-07-23,SP02,Teclado,Acessórios,2,155.78
SP02-20260723-002-003,2026-07-23,SP02,Mesa,Móveis,1,1185.12
SP02-20260723-002-004,2026-07-23,SP02,Mochila,Escritório,4,163.31
SP02-20260723-002-005,2026-07-23,SP02,Caderno,Escritório,3,23.53
SP02-20260723-002-006,2026-07-23,SP02,Teclado,Acessórios,4,154.34
SP02-20260723-002-007,2026-07-23,SP02,Caneta,Escritório,5,4.70
SP02-20260723-002-008,2026-07-23,SP02,Mesa,Móveis,3,1197.00
SP02-20260723-002-009,2026-07-23,SP02,Mouse,Acessórios,4,79.62
SP02-20260723-002-010,2026-07-23,SP02,Notebook,Eletrônicos,5,3328.15
SP02-20260723-002-011,2026-07-23,SP02,Headset,Acessórios,4,249.12
SP02-20260723-002-012,2026-07-23,SP02,Mochila,Escritório,3,197.68
SP02-20260723-002-013,2026-07-23,SP02,Notebook,Eletrônicos,2,3773.00
SP02-20260723-002-014,2026-07-23,SP02,Monitor,Eletrônicos,1,1173.36
SP02-20260723-002-015,2026-07-23,SP02,Headset,Acessórios,1,234.05
SP02-20260723-002-016,2026-07-23,SP02,Teclado,Acessórios,2,138.82
SP02-20260723-002-017,2026-07-23,SP02,Cadeira,Móveis,2,971.91
SP02-20260723-002-018,2026-07-23,SP02,Teclado,Acessórios,2,148.38
SP02-20260723-002-001,2026-07-23,SP02,Mesa,Móveis,4,1180.56
SP02-20260723-002-002,2026-07-23,SP02,Teclado,Acessórios,2,155.78
